FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,SECTOR,SECTOR_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,PT_GDP,Percentage of GDP,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0253949528572625,0.0277228156956544,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,PT_GDP,Percentage of GDP,IMF_SEC_CG,Sector: Central government (excl. social security),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0262671769469497,0.0277228156956544,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,PT_GDP,Percentage of GDP,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0262671769469497,0.0277228156956544,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,PT_GDP,Percentage of GDP,IMF_SEC_EBG,Sector: Extrabudgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008722240896871,0.0,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,PT_GDP,Percentage of GDP,IMF_SEC_GG,Sector: General government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0262671769469497,0.0277228156956544,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,PT_GDP,Percentage of GDP,IMF_SEC_LG,Sector: Local government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,XDC,Domestic currency,IMF_SEC_BCG,Sector: Budgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,334826950.0,381891587.0,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,XDC,Domestic currency,IMF_SEC_CG,Sector: Central government (excl. social security),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,346327035.6,381891587.0,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,XDC,Domestic currency,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,346327035.6,381891587.0,,,,,,
A,Annual,AFG,Afghanistan,IMF_COFOG_GERS_GF0801,Government expenditure on recreational & sporting services,XDC,Domestic currency,IMF_SEC_EBG,Sector: Extrabudgetary central government,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,11500085.6,0.0,,,,,,
